year,month,USSTHPI
1975,1,60.01
1975,2,60.01
1975,3,60.01
1975,4,60.96
1975,5,60.96
1975,6,60.96
1975,7,61.15
1975,8,61.15
1975,9,61.15
1975,10,62.24
1975,11,62.24
1975,12,62.24
1976,1,62.88
1976,2,62.88
1976,3,62.88
1976,4,65.45
1976,5,65.45
1976,6,65.45
1976,7,66.51
1976,8,66.51
1976,9,66.51
1976,10,67.25
1976,11,67.25
1976,12,67.25
1977,1,69.48
1977,2,69.48
1977,3,69.48
1977,4,72.72
1977,5,72.72
1977,6,72.72
1977,7,74.34
1977,8,74.34
1977,9,74.34
1977,10,77.18
1977,11,77.18
1977,12,77.18
1978,1,79.59
1978,2,79.59
1978,3,79.59
1978,4,82.74
1978,5,82.74
1978,6,82.74
1978,7,85.16
1978,8,85.16
1978,9,85.16
1978,10,87.48
1978,11,87.48
1978,12,87.48
1979,1,91.42
1979,2,91.42
1979,3,91.42
1979,4,94.45
1979,5,94.45
1979,6,94.45
1979,7,96.46
1979,8,96.46
1979,9,96.46
1979,10,98.25
1979,11,98.25
1979,12,98.25
1980,1,100.0
1980,2,100.0
1980,3,100.0
1980,4,101.63
1980,5,101.63
1980,6,101.63
1980,7,104.42
1980,8,104.42
1980,9,104.42
1980,10,104.61
1980,11,104.61
1980,12,104.61
1981,1,105.18
1981,2,105.18
1981,3,105.18
1981,4,107.44
1981,5,107.44
1981,6,107.44
1981,7,108.83
1981,8,108.83
1981,9,108.83
1981,10,107.5
1981,11,107.5
1981,12,107.5
1982,1,106.22
1982,2,106.22
1982,3,106.22
1982,4,108.86
1982,5,108.86
1982,6,108.86
1982,7,107.08
1982,8,107.08
1982,9,107.08
1982,10,111.73
1982,11,111.73
1982,12,111.73
1983,1,114.44
1983,2,114.44
1983,3,114.44
1983,4,115.93
1983,5,115.93
1983,6,115.93
1983,7,116.95
1983,8,116.95
1983,9,116.95
1983,10,117.65
1983,11,117.65
1983,12,117.65
1984,1,119.44
1984,2,119.44
1984,3,119.44
1984,4,121.04
1984,5,121.04
1984,6,121.04
1984,7,122.18
1984,8,122.18
1984,9,122.18
1984,10,123.16
1984,11,123.16
1984,12,123.16
1985,1,124.9
1985,2,124.9
1985,3,124.9
1985,4,126.79
1985,5,126.79
1985,6,126.79
1985,7,128.76
1985,8,128.76
1985,9,128.76
1985,10,130.2
1985,11,130.2
1985,12,130.2
1986,1,132.73
1986,2,132.73
1986,3,132.73
1986,4,135.5
1986,5,135.5
1986,6,135.5
1986,7,137.56
1986,8,137.56
1986,9,137.56
1986,10,139.69
1986,11,139.69
1986,12,139.69
1987,1,142.46
1987,2,142.46
1987,3,142.46
1987,4,144.68
1987,5,144.68
1987,6,144.68
1987,7,146.35
1987,8,146.35
1987,9,146.35
1987,10,147.3
1987,11,147.3
1987,12,147.3
1988,1,149.59
1988,2,149.59
1988,3,149.59
1988,4,152.59
1988,5,152.59
1988,6,152.59
1988,7,154.17
1988,8,154.17
1988,9,154.17
1988,10,155.58
1988,11,155.58
1988,12,155.58
1989,1,157.4
1989,2,157.4
1989,3,157.4
1989,4,159.56
1989,5,159.56
1989,6,159.56
1989,7,162.97
1989,8,162.97
1989,9,162.97
1989,10,164.31
1989,11,164.31
1989,12,164.31
1990,1,165.25
1990,2,165.25
1990,3,165.25
1990,4,165.93
1990,5,165.93
1990,6,165.93
1990,7,166.96
1990,8,166.96
1990,9,166.96
1990,10,166.31
1990,11,166.31
1990,12,166.31
1991,1,167.68
1991,2,167.68
1991,3,167.68
1991,4,168.8
1991,5,168.8
1991,6,168.8
1991,7,169.12
1991,8,169.12
1991,9,169.12
1991,10,171.49
1991,11,171.49
1991,12,171.49
1992,1,172.81
1992,2,172.81
1992,3,172.81
1992,4,172.78
1992,5,172.78
1992,6,172.78
1992,7,174.74
1992,8,174.74
1992,9,174.74
1992,10,175.62
1992,11,175.62
1992,12,175.62
1993,1,175.7
1993,2,175.7
1993,3,175.7
1993,4,177.38
1993,5,177.38
1993,6,177.38
1993,7,178.82
1993,8,178.82
