year,anxious_index,month,DATE
1968,,01,1968-01
1968,,04,1968-04
1968,,07,1968-07
1968,,10,1968-10
1969,17.69,01,1969-01
1969,17.42,04,1969-04
1969,4.91,07,1969-07
1969,24.32,10,1969-10
1970,44.23,01,1970-01
1970,45.88,04,1970-04
1970,29.09,07,1970-07
1970,23.64,10,1970-10
1971,13.07,01,1971-01
1971,6.8,04,1971-04
1971,18,07,1971-07
1971,8.03,10,1971-10
1972,5.03,01,1972-01
1972,4.67,04,1972-04
1972,3.07,07,1972-07
1972,3.53,10,1972-10
1973,2.16,01,1973-01
1973,3.49,04,1973-04
1973,6.52,07,1973-07
1973,12.22,10,1973-10
1974,47.35,01,1974-01
1974,52.51,04,1974-04
1974,30.24,07,1974-07
1974,34.81,10,1974-10
1975,74.06,01,1975-01
1975,60.5,04,1975-04
1975,31.2,07,1975-07
1975,10.82,10,1975-10
1976,12.51,01,1976-01
1976,6.88,04,1976-04
1976,3.29,07,1976-07
1976,6.25,10,1976-10
1977,6.97,01,1977-01
1977,5.4,04,1977-04
1977,3.95,07,1977-07
1977,8.03,10,1977-10
1978,9.64,01,1978-01
1978,6.65,04,1978-04
1978,8.69,07,1978-07
1978,10.96,10,1978-10
1979,21.38,01,1979-01
1979,23.79,04,1979-04
1979,39.57,07,1979-07
1979,67.24,10,1979-10
1980,70.13,01,1980-01
1980,50.56,04,1980-04
1980,69.68,07,1980-07
1980,52.17,10,1980-10
1981,37.76,01,1981-01
1981,33.4,04,1981-04
1981,20.23,07,1981-07
1981,35.18,10,1981-10
1982,58.11,01,1982-01
1982,44.85,04,1982-04
1982,29.75,07,1982-07
1982,30.15,10,1982-10
1983,38.38,01,1983-01
1983,13.81,04,1983-04
1983,6.59,07,1983-07
1983,10.1,10,1983-10
1984,10.36,01,1984-01
1984,10.04,04,1984-04
1984,11.63,07,1984-07
1984,13.82,10,1984-10
1985,22.44,01,1985-01
1985,9.9,04,1985-04
1985,12.59,07,1985-07
1985,15.19,10,1985-10
1986,13.08,01,1986-01
1986,10.46,04,1986-04
1986,9.81,07,1986-07
1986,18.05,10,1986-10
1987,21.39,01,1987-01
1987,10.33,04,1987-04
1987,12.36,07,1987-07
1987,8.4,10,1987-10
1988,29.61,01,1988-01
1988,32.35,04,1988-04
1988,14.5,07,1988-07
1988,9.06,10,1988-10
1989,10.08,01,1989-01
1989,14.5,04,1989-04
1989,17.94,07,1989-07
1989,16.71,10,1989-10
