year,month,NROU
1949,1,5.255052567
1949,2,5.2572069169999995
1949,3,5.259361267
1949,4,5.261515617
1949,5,5.263681411333333
1949,6,5.265847205666667
1949,7,5.268013
1949,8,5.270196666666666
1949,9,5.2723803333333334
1949,10,5.274564
1949,11,5.27677
1949,12,5.278976
1950,1,5.281182
1950,2,5.28341
1950,3,5.2856380000000005
1950,4,5.287866
1950,5,5.290112
1950,6,5.292358
1950,7,5.294604
1950,8,5.296858333333333
1950,9,5.299112666666667
1950,10,5.301367
1950,11,5.3036156666666665
1950,12,5.305864333333333
1951,1,5.308113
1951,2,5.310338333333333
1951,3,5.312563666666667
1951,4,5.314789
1951,5,5.3169704693333335
1951,6,5.319151938666667
1951,7,5.321333408
1951,8,5.323449770333333
1951,9,5.325566132666667
1951,10,5.327682495
1951,11,5.329712996666667
1951,12,5.331743498333333
1952,1,5.333774
1952,2,5.335701
1952,3,5.3376280000000005
1952,4,5.339555000000001
1952,5,5.341365161666667
1952,6,5.343175323333333
1952,7,5.344985485
1952,8,5.346670468666667
1952,9,5.348355452333333
1952,10,5.3500404360000005
1952,11,5.351597957333333
1952,12,5.353155478666666
1953,1,5.354712999999999
1953,2,5.356145883333333
1953,3,5.357578766666666
1953,4,5.35901165
1953,5,5.3603271
1953,6,5.36164255
1953,7,5.362958
1953,8,5.3641661313333335
1953,9,5.365374262666666
1953,10,5.366582394
1953,11,5.367695596
1953,12,5.368808798
1954,1,5.369922
1954,2,5.370952816666667
1954,3,5.3719836333333335
1954,4,5.37301445
1954,5,5.373976966666667
1954,6,5.374939483333334
1954,7,5.375902
1954,8,5.376809333333333
1954,9,5.377716666666666
1954,10,5.378623999999999
1954,11,5.379489333333333
1954,12,5.380354666666666
1955,1,5.38122
1955,2,5.382055
1955,3,5.38289
1955,4,5.383725
1955,5,5.384540333333334
1955,6,5.385355666666666
1955,7,5.386171
1955,8,5.386976
1955,9,5.387781
1955,10,5.388586
1955,11,5.389389485333333
1955,12,5.390192970666667
1956,1,5.390996456
1956,2,5.391807637333334
1956,3,5.392618818666667
1956,4,5.39343
1956,5,5.394259
1956,6,5.395088
1956,7,5.395917
1956,8,5.396775666666667
1956,9,5.397634333333333
1956,10,5.398493
1956,11,5.399394795666667
1956,12,5.400296591333334
1957,1,5.401198387000001
1957,2,5.402159055
1957,3,5.4031197230000005
1957,4,5.404080391
1957,5,5.405115127666667
1957,6,5.406149864333333
1957,7,5.407184601
1957,8,5.408309067333334
1957,9,5.409433533666666
1957,10,5.410558
1957,11,5.411785453333334
1957,12,5.413012906666666
1958,1,5.41424036
1958,2,5.41558224
1958,3,5.41692412
1958,4,5.418266
1958,5,5.419730147666667
1958,6,5.421194295333334
1958,7,5.422658443
1958,8,5.424248628666667
1958,9,5.425838814333334
1958,10,5.427429
1958,11,5.429144885333334
1958,12,5.4308607706666665
1959,1,5.432576656
1959,2,5.434412956
1959,3,5.436249256
1959,4,5.438085556
1959,5,5.440032704
1959,6,5.441979852
1959,7,5.443927
1959,8,5.445972666666667
1959,9,5.448018333333334
1959,10,5.450064
1959,11,5.4521934566666665
1959,12,5.454322913333334
1960,1,5.45645237
1960,2,5.458651913333333
1960,3,5.460851456666667
1960,4,5.463051
1960,5,5.465310519666667
1960,6,5.467570039333333
1960,7,5.469829559
1960,8,5.472143039333333
1960,9,5.474456519666667
1960,10,5.47677
1960,11,5.479138333333333
1960,12,5.481506666666667
1961,1,5.483875
1961,2,5.486305000000001
1961,3,5.488735
1961,4,5.4911650000000005
1961,5,5.493668448666667
1961,6,5.496171897333334
1961,7,5.498675346000001
1961,8,5.5012687043333335
1961,9,5.503862062666667
1961,10,5.506455421
1961,11,5.509156614
