"Ticker
","Name
","Inception Date
","Fund Asset Class Focus
","Parent Comp. Name
","Fund Industry Focus
","Tot Asset (M)
"
PONAX US Equity,PIMCO INCOME FUND-A,3/30/2007,Fixed Income,PIMCO Funds,N.A.,139402.047
CWGIX US Equity,AF CAP WLRD GR & INC-A,3/26/1993,Equity,Capital World Growth and Income Fund/Fund Parent,N.A.,117151.914
TRBCX US Equity,T ROWE PR BLUE CHIP GROW-INV,6/30/1993,Equity,T Rowe Price Blue Chip Growth Fund Inc/United States,N.A.,86521.344
MWTRX US Equity,MTRPLTN WST TTL RTRN BND-M,3/31/1997,Fixed Income,Metropolitan West Funds,N.A.,77462.844
SMCWX US Equity,AMER FND SMALLCAP WRLD-A,4/30/1990,Equity,SMALLCAP World Fund Inc/Fund Parent,N.A.,71279.187
FCTDX US Equity,STRAT ADV FIDELITY US TTL,3/20/2018,Equity,Fidelity Rutland Square Trust II,N.A.,70820.469
DODIX US Equity,DODGE & COX INCOME,1/3/1989,Fixed Income,Dodge & Cox Funds,N.A.,68712.328
PTTRX US Equity,PIMCO TOTAL RETURN FUND-INST,5/11/1987,Fixed Income,PIMCO Funds,N.A.,67411.32
MFEBX US Equity,MFS VALUE FUND-B,11/4/1997,Equity,MFS Municipal Series Trust,N.A.,64918.566
FALCX US Equity,STRATEGIC ADVISERS LARGE CAP,11/5/2020,Equity,Fidelity Rutland Square Trust II,N.A.,59846.863
LALDX US Equity,LORD ABBETT SHRT DUR INC-A,11/4/1993,Fixed Income,Lord Abbett Investment Trust,N.A.,59618.5
VWNFX US Equity,VANGUARD WINDSOR II-INV,6/24/1985,Equity,Vanguard Windsor Funds,N.A.,58061.039
NEWFX US Equity,AMER FNDS NEW WORLD-A,6/17/1999,Equity,New World Fund Inc/Fund Parent,N.A.,54069.539
VDIGX US Equity,VANGUARD DIVIDEND GROWTH-INV,5/15/1992,Equity,Vanguard Specialized Funds,N.A.,53849.121
VEIPX US Equity,VANGUARD EQUITY INCOME-INV,3/21/1988,Equity,Vanguard Fenway Funds,N.A.,52487.977
FBGRX US Equity,FIDELITY BLUE CHIP GROWTH,12/31/1987,Equity,Fidelity Securities Fund,N.A.,51827.684
HLIEX US Equity,JPMORGAN EQUITY INCOME-I,7/2/1987,Equity,JPMorgan Trust II,N.A.,51259.57
PDBAX US Equity,PGIM TOTAL RETURN BOND-A,1/10/1995,Fixed Income,Prudential Investment Portfolios Inc 17,N.A.,49769.332
FIWGX US Equity,STRATEGIC ADV CORE INC,10/16/2018,Fixed Income,Fidelity Rutland Square Trust II,N.A.,46151.957
BSIIX US Equity,BLACKROCK STRAT INC OPP-INST,2/5/2008,Fixed Income,BlackRock Funds V,N.A.,45178.16
DBLTX US Equity,DOUBLELINE TTL RTRN BND-I,4/6/2010,Fixed Income,DoubleLine Funds Trust,N.A.,44382.879
DODFX US Equity,DODGE & COX INTL STCK,5/1/2001,Equity,Dodge & Cox Funds,N.A.,43838.434
MFEGX US Equity,MFS GROWTH FUND-A,9/13/1993,Equity,MFS Municipal Series Trust,N.A.,41818.391
VIPSX US Equity,VANGUARD INFLAT PROTECT-INV,6/29/2000,Fixed Income,Vanguard Fixed Income Securities Fund Inc,N.A.,41238.707
LBSAX US Equity,COLUMBIA DIVIDEND INCOME-A,11/25/2002,Equity,Columbia Funds Series Trust I,N.A.,39219.922
VMLTX US Equity,VANGUARD LTD TRM T/E-INV,8/31/1987,Fixed Income,Vanguard Municipal Bond Funds,N.A.,37971.184
FSIGX US Equity,FIDELITY SER INV GRD BND,10/8/2008,Fixed Income,Fidelity Salem Street Trust,N.A.,37638.473
BAGIX US Equity,BAIRD AGGREGATE BOND FUND-IS,9/29/2000,Fixed Income,Baird Funds Inc,N.A.,36930.977
WACPX US Equity,WESTERN ASST CORE PL BND-I,7/8/1998,Fixed Income,Western Asset Funds Inc,N.A.,36929.75
TRVLX US Equity,T ROWE PRICE VALUE FUND,9/30/1994,Equity,T Rowe Price Value Fund Inc/United States,N.A.,36909.82
SEEGX US Equity,JPMORGAN LARGE CAP GROW-I,2/28/1992,Equity,JPMorgan Trust II,N.A.,36859.066
ODMAX US Equity,INVESCO DEVELOP MRKTS-A,11/18/1996,Equity,AIM Investment Funds Invesco Investment Funds,N.A.,36097.324
VFICX US Equity,VANGUARD I/T INVEST GRD-INV,11/1/1993,Fixed Income,Vanguard Fixed Income Securities Fund Inc,N.A.,35153.328
HACAX US Equity,HARBOR CAPITAL APPRECIA-INST,12/29/1987,Equity,Harbor Funds,N.A.,34621.402
DFQTX US Equity,DFA US CORE EQUITY 2 PORT,9/15/2005,Equity,DFA Investment Dimensions Group Inc,N.A.,34065.375
DFIEX US Equity,DFA INTERNATIONAL CORE EQTY,9/15/2005,Equity,DFA Investment Dimensions Group Inc,N.A.,33371.441
RPMGX US Equity,T ROWE PR MID CAP GROW-INV,6/30/1992,Equity,T Rowe Price Mid-Cap Growth Fund Inc/United States,N.A.,32872.637
FTBFX US Equity,FIDELITY TOTAL BOND FUND-TB,10/15/2002,Fixed Income,Fidelity Income Fund/MA,N.A.,32766.844
BBCPX US Equity,BRIDGE BUILDER CORE PL BND,7/13/2015,Fixed Income,Bridge Builder Trust,N.A.,32709.773
DFEOX US Equity,DFA US CORE EQTY 1 PORT,9/15/2005,Equity,DFA Investment Dimensions Group Inc,N.A.,32591.24
VIITX US Equity,VANGUARD INST I/T BND-INS PL,11/30/1997,Fixed Income,Vanguard Malvern Funds,N.A.,31786.779
FLPSX US Equity,FIDELITY LOW-PRICED STOCK,12/27/1989,Equity,Fidelity Funds/USA,N.A.,31074.961
AIBAX US Equity,AM FND INTM BND FD AM-A,2/19/1988,Fixed Income,Intermediate Bond Fund of America/Fund Parent,N.A.,31040.27
PRBLX US Equity,PARNASSUS CORE EQUITY-INV,8/31/1992,Equity,Parnassus Income Funds,N.A.,29363.26
DFCEX US Equity,DFA EMERG MKTS CORE EQTY-I,4/5/2005,Equity,DFA Investment Dimensions Group Inc,N.A.,28293.16
EGFIX US Equity,EDGEWOOD GROWTH FUND-INST,2/28/2006,Equity,Edgewood Management LLC/USA,N.A.,27448.684
MGIAX US Equity,MFS INTL INTRINSIC VALUE-A,10/24/1995,Equity,MFS Municipal Series Trust,N.A.,27227.441
FEMSX US Equity,FIDELITY SER EMRG MRKT OPP,12/9/2008,Equity,Fidelity Investment Trust,N.A.,26806.629
FRDPX US Equity,FRANKLIN RISING DIVIDEND-A,1/14/1987,Equity,Franklin Managed Trust,N.A.,26495.082
BCOIX US Equity,BAIRD CORE PLUS BOND-INST,9/29/2000,Fixed Income,Baird Funds Inc,N.A.,26082.811
DFLVX US Equity,DFA US LRG CAP VAL PORT-INST,2/18/1993,Equity,DFA Investment Dimensions Group Inc,N.A.,25819.949
OAKIX US Equity,OAKMARK INTERNATIONAL-INV,9/30/1992,Equity,Harris Associates Investment Trust,N.A.,24877.84
GIBAX US Equity,GUGGENHEIM TOT RET BND-A,11/30/2011,Fixed Income,Guggenheim Funds Trust,N.A.,24080.42
ARTKX US Equity,ARTISAN INTL VAL-INV,9/23/2002,Equity,Artisan Partners Funds Inc,N.A.,24079.699
OWLSX US Equity,OLD WESTBURY LARGE CAP STRAT,10/22/1993,Equity,Old Westbury Funds Inc,N.A.,23815.801
WCMIX US Equity,WCM FOCUSED INTL GROWTH-INST,5/31/2011,Equity,Investment Managers Series Trust,N.A.,23028.687
GSIHX US Equity,GLDMN SCHS GQP PRT INTL-A,12/16/2016,Equity,Goldman Sachs Trust,N.A.,22976.09
FLCNX US Equity,FIDELITY CONTRAFUND K6,5/31/2017,Equity,Fidelity Contrafund/Fund Parent,N.A.,22967.961
AMUSX US Equity,AMER FNDS US GOVT SECS-A,10/17/1985,Fixed Income,American Funds Income Series,N.A.,22654.859
FNIAX US Equity,FIDELITY ADV NW INSGHTS-A,7/31/2003,Equity,Fidelity Contrafund/Fund Parent,N.A.,22274.65
PBHAX US Equity,PGIM HIGH YIELD-A,1/22/1990,Fixed Income,Prudential Investment Portfolios Inc 15,N.A.,22122.477
MADVX US Equity,BLACKROCK EQTY DVDND-I,11/29/1988,Equity,BlackRock Equity Dividend Fund/Fund Parent,N.A.,21943.836
JUEAX US Equity,JPMORGAN US EQUITY-A,9/10/2001,Equity,JPMorgan Trust II,N.A.,21910.961
PMBMX US Equity,PRINCIPAL MIDCAP FUND-R3,12/6/2000,Equity,Principal Funds Inc,N.A.,21709.43
NHMAX US Equity,NUVEEN HIGH YLD MUNI BND-A,6/7/1999,Fixed Income,Nuveen Municipal Trust/MA,N.A.,21676.221
TROSX US Equity,T ROWE PR OVERSEAS STOCK-INV,12/29/2006,Equity,T Rowe Price International Funds Inc,N.A.,21674.496
PRDGX US Equity,T ROWE PR DIVIDEND GROW-INV,12/30/1992,Equity,T Rowe Price Dividend Growth Fund Inc/United States,N.A.,21306.004
JVMIX US Equity,JH III DISC MID CAP VAL-I,6/2/1997,Equity,John Hancock Funds II,N.A.,21120.91
TRLGX US Equity,T ROWE PRICE LARGE/CAP GRW-I,10/31/2001,Equity,T Rowe Price Equity Funds Inc,N.A.,20796.332
BHYIX US Equity,BLCKRCK HI YLD BND PORT-INST,11/19/1998,Fixed Income,BlackRock Funds,N.A.,20574.633
FAGOX US Equity,FIDELITY ADV GROWTH OPPOR-M,11/18/1987,Equity,Fidelity Advisor Series I,N.A.,20485.949
JGRTX US Equity,JANUS HNDRSN ENTERPRISE-S,9/1/1992,Equity,Janus Investment Fund,N.A.,20005.344
MAHQX US Equity,BLACKROCK TOTAL RETURN-I,9/24/2007,Fixed Income,BlackRock Funds Inc/USA,N.A.,19929.789
VUBFX US Equity,VANGUARD ULTRA-S/T BND-INV,2/24/2015,Fixed Income,Vanguard Fixed Income Securities Fund Inc,N.A.,19683.207
PRFDX US Equity,T ROWE PRICE EQUITY INC-INV,10/31/1985,Equity,T Rowe Price Equity Income Fund/United States,N.A.,19512.836
JARTX US Equity,JANUS HENDERSON FORTY-S,5/1/1997,Equity,Janus Investment Fund,N.A.,19421.32
HLMIX US Equity,HRDNG LVNR INTL EQTY-INST,5/11/1994,Equity,Harding Loevner Funds Inc,N.A.,19305.199
AHITX US Equity,AMER FNDS HI-INC TRST-A,2/19/1988,Fixed Income,American High-Income Trust/Fund Parent,N.A.,19262.32
VHCOX US Equity,VANGUARD CAPITAL OPPORT-INV,8/14/1995,Equity,Vanguard Horizon Funds,N.A.,19150.992
