DATE,USSTHPI
1975-01-01,60.01
1975-04-01,60.96
1975-07-01,61.15
1975-10-01,62.24
1976-01-01,62.88
1976-04-01,65.45
1976-07-01,66.51
1976-10-01,67.25
1977-01-01,69.48
1977-04-01,72.72
1977-07-01,74.34
1977-10-01,77.18
1978-01-01,79.59
1978-04-01,82.74
1978-07-01,85.16
1978-10-01,87.48
1979-01-01,91.42
1979-04-01,94.45
1979-07-01,96.46
1979-10-01,98.25
1980-01-01,100.00
1980-04-01,101.63
1980-07-01,104.42
1980-10-01,104.61
1981-01-01,105.18
1981-04-01,107.44
1981-07-01,108.83
1981-10-01,107.5
1982-01-01,106.22
1982-04-01,108.86
1982-07-01,107.08
1982-10-01,111.73
1983-01-01,114.44
1983-04-01,115.93
1983-07-01,116.95
1983-10-01,117.65
1984-01-01,119.44
1984-04-01,121.04
1984-07-01,122.18
1984-10-01,123.16
1985-01-01,124.9
1985-04-01,126.79
1985-07-01,128.76
1985-10-01,130.2
1986-01-01,132.73
1986-04-01,135.5
1986-07-01,137.56
1986-10-01,139.69
1987-01-01,142.46
1987-04-01,144.68
1987-07-01,146.35
1987-10-01,147.3
1988-01-01,149.59
1988-04-01,152.59
1988-07-01,154.17
1988-10-01,155.58
1989-01-01,157.4
1989-04-01,159.56
1989-07-01,162.97
1989-10-01,164.31
1990-01-01,165.25
1990-04-01,165.93
1990-07-01,166.96
1990-10-01,166.31
1991-01-01,167.68
1991-04-01,168.8
1991-07-01,169.12
1991-10-01,171.49
1992-01-01,172.81
1992-04-01,172.78
1992-07-01,174.74
1992-10-01,175.62
1993-01-01,175.7
1993-04-01,177.38
1993-07-01,178.82
1993-10-01,180.29
1994-01-01,181.42
1994-04-01,182.5
1994-07-01,183.26
1994-10-01,183.1
1995-01-01,184.06
1995-04-01,187.09
1995-07-01,189.97
1995-10-01,191.44
1996-01-01,193.58
1996-04-01,193.9
1996-07-01,194.77
1996-10-01,196.28
1997-01-01,197.92
1997-04-01,199.54
1997-07-01,202.26
1997-10-01,204.89
1998-01-01,207.97
1998-04-01,209.82
1998-07-01,212.76
1998-10-01,215.28
1999-01-01,217.54
1999-04-01,220.45
1999-07-01,223.59
1999-10-01,225.89
2000-01-01,230.21
2000-04-01,233.96
2000-07-01,238.22
2000-10-01,241.87
2001-01-01,247.85
2001-04-01,252.01
2001-07-01,255.92
2001-10-01,259.09
2002-01-01,262.81
2002-04-01,267.29
2002-07-01,272.59
2002-10-01,276.46
2003-01-01,279.83
2003-04-01,283.25
2003-07-01,287.62
2003-10-01,295.76
2004-01-01,300.42
2004-04-01,307.75
2004-07-01,319.5
2004-10-01,326.34
2005-01-01,333.83
2005-04-01,344.53
2005-07-01,354.97
2005-10-01,363.01
2006-01-01,368.76
2006-04-01,372.54
2006-07-01,375.6
2006-10-01,379.44
2007-01-01,380.86
2007-04-01,380.62
2007-07-01,376.36
2007-10-01,375.16
2008-01-01,372.42
2008-04-01,363.03
2008-07-01,351.59
2008-10-01,348.37
2009-01-01,350.94
2009-04-01,341.73
2009-07-01,332.8
2009-10-01,330.28
2010-01-01,326.33
2010-04-01,323.38
2010-07-01,326.52
2010-10-01,324.19
2011-01-01,315.21
2011-04-01,309.68
2011-07-01,312.0
2011-10-01,313.43
2012-01-01,310.15
2012-04-01,308.76
2012-07-01,312.86
2012-10-01,315.31
2013-01-01,316.89
2013-04-01,321.75
2013-07-01,326.44
2013-10-01,329.06
2014-01-01,331.83
2014-04-01,338.24
2014-07-01,343.15
2014-10-01,345.94
2015-01-01,349.75
2015-04-01,355.45
2015-07-01,360.54
2015-10-01,363.47
2016-01-01,366.81
2016-04-01,373.72
2016-07-01,380.35
2016-10-01,383.36
2017-01-01,386.2
2017-04-01,394.86
2017-07-01,400.98
2017-10-01,404.34
2018-01-01,410.07
2018-04-01,417.61
2018-07-01,422.66
2018-10-01,424.15
2019-01-01,428.86
2019-04-01,436.0
2019-07-01,441.53
2019-10-01,445.44
2020-01-01,450.55
2020-04-01,455.03
2020-07-01,463.04
2020-10-01,473.21
2021-01-01,484.35
2021-04-01,511.06
2021-07-01,539.58
2021-10-01,557.73
